mol_id,smiles
TOX6619,O=S(=O)(Cl)c1ccccc1
TOX6612,CC(C)COC(=O)C(C)C
TOX6615,C=C(C)C(=O)OCCOC(=O)C(=C)C
TOX1883,C#CCO
TOX1885,CC(O)CC(C)(C)O
TOX1886,CC(C)(C)CC(C)(C)N
TOX1889,CC(=O)CC(C)C
TOX1888,CCCC(C)=O
TOX161,c1ccc(-c2ccccc2)cc1
TOX22188,CCCCNC(=O)NCCCC
TOX22189,CC(C)N(c1ccccc1)C(C)C
TOX7876,CCc1cccc(C)c1
TOX4112,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
TOX27698,CC/C=C\CCCCO
TOX10138,CC(=O)CCC(C)=O
TOX21464,N#CCCNCCC#N
TOX27071,Cc1ccccc1CCO
TOX27070,Cc1nc(C)c(C)nc1C
TOX27072,CC1=CC(O)CC(C)(C)C1
TOX27075,Cc1cnc(C)c(C)n1
TOX19719,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2]
TOX24911,CC(C)CCCCCOC(=O)CCS
TOX956,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O
TOX9733,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O
TOX2968,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O
TOX2617,COC(=O)C1=CCCN(C)C1
TOX5642,Cc1ccc(C(=O)O)cc1[N+](=O)[O-]
TOX5641,Cc1cc(C(=O)O)ccc1[N+](=O)[O-]
TOX27158,CCCCCC(C)O
TOX1709,NC(=O)c1ccccc1
TOX9559,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO
TOX25753,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1
TOX14836,[I-].[K+]
TOX4786,O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O
TOX25533,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1
TOX25530,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
TOX25531,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
TOX25536,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
TOX3568,CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12
TOX7019,CCCCCCCCCCCCCC(=O)OC
TOX7014,CCCCCCC(C)O
TOX22494,CCC[Si](OC)(OC)OC
TOX27088,CC1=C(CC=O)C(C)(C)CCC1
TOX4931,CCCCCNCCCCC
TOX4286,CC1CN1
TOX4287,CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1
TOX179,CC(O)CNCC(C)O
TOX21530,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-]
TOX6867,O=C(O)CCCCCCCCC(=O)O
TOX6864,CCCCCCCC(=O)OC
TOX6863,CC(O)COCC(C)O
TOX22379,CO[Si](C)(C)OC
TOX4704,Cc1ccc(C(C)(C)C)cc1
TOX1557,BrCBr
TOX10307,Nc1cc(Cl)cc(Cl)c1
TOX27484,O.O.O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Mg+2]
TOX7244,CCC(Cl)CCl
TOX24613,N#CC1(N=NC2(C#N)CCCCC2)CCCCC1
TOX24618,COc1cccc(Br)c1
TOX24619,CCCCCCCCNC
TOX21880,Cc1cc(OC(=O)N(C)C)nn1C(=O)N(C)C
TOX7312,CC(O)COc1ccccc1
TOX760,O=P1(NCCCl)OCCCN1CCCl
TOX767,CC=Cc1ccc2c(c1)OCO2
TOX21085,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
TOX21080,CCN(Cc1ccc(Cl)nc1)/C(=C/[N+](=O)[O-])NC
TOX27873,OC[C@]1(O)OC[C@@H](O)[C@H](O)[C@@H]1O
TOX27875,CC(C)C[P+](C)(CC(C)C)CC(C)C
TOX27874,C=C1C[C@]23CC[C@@H]4[C@](C)(C(=O)O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CCC[C@]4(C)[C@@H]2C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]2OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1C3
TOX5074,O=C(O)c1ccc(O)cc1O
TOX5079,CC(C)CNCC(C)C
TOX3041,NC(=O)OCC(COC(N)=O)c1ccccc1
TOX12412,COC(=O)c1ccc(C)cc1C1=NC(=O)C(C)(C(C)C)N1
TOX545,NC(=S)NNC(N)=S
TOX540,O=C(Oc1ccccc1)Oc1ccccc1
TOX818,CN(C)CCN(Cc1cccs1)c1ccccn1
TOX26503,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C
TOX26506,NC(=O)c1cn(Cc2c(F)cccc2F)nn1
TOX22613,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
TOX29331,CC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F
TOX14816,CNC(=O)/C=C(\C)OP(=O)(OC)OC
TOX27670,CC=CC(=O)CC
TOX27677,CC1OCCC1=O
TOX27675,CC1CCCC(=O)C1=O
TOX27678,c1cnc2c(n1)CCCC2
TOX21703,CCCCc1ccc2cccc(S(=O)(=O)[O-])c2c1
TOX2800,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
TOX9710,O=P(Cl)(Cl)Cl
TOX5668,COC(=O)c1ccc(C)cc1
TOX5665,Cc1c[nH]c(=S)[nH]c1=O
TOX2944,COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3
TOX9575,C=COCC1CCC(CO)CC1
TOX1769,CC(=O)/C=C/C1=C(C)CCCC1(C)C
TOX25888,CC(=O)NC1CCSC1=O
TOX1764,CC(O)CN
TOX617,C=CCc1ccc(O)c(OC)c1
TOX20540,COC(=O)[C@@H](N)CCCN/C(N)=N/[N+](=O)[O-]
TOX28901,C[C@H](N[C@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O
TOX24289,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12
TOX24931,C=C(C)C(=O)OCCNC(C)(C)C
TOX24930,NS(=O)(=O)c1ccccc1OC(F)(F)F
TOX24933,O=C=NCC1CCCC(CN=C=O)C1
TOX25089,NS(=O)(=O)c1ccc(C(=O)O)cc1
TOX3541,Cc1ncc(CO)c(CO)c1O
TOX7037,O=S1(=O)CCCC1
TOX3722,O=[N+]([O-])OCCN(CCO[N+](=O)[O-])CCO[N+](=O)[O-]
TOX3723,NC(CO)(CO)CO
TOX3727,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C
TOX3724,O=C(O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1
TOX3725,COc1cc(C(=O)NC2CCCNC2)cc(OC)c1OC
TOX24423,C[N+](C)=CCl
TOX24421,CC(=O)c1cccnc1
TOX24427,O=CN1CCOCC1
TOX24425,COC(=O)CCC(=O)O
TOX24424,NCc1cccnc1
TOX29367,c1ccc2cnncc2c1
TOX13402,O=P(O)(OCc1ccccc1)OCc1ccccc1
TOX153,ClCc1ccccc1
TOX152,OCc1ccccc1
TOX151,CC(=O)OCc1ccccc1
TOX17248,COCCc1ccc(OCC(O)CNC(C)C)cc1.COCCc1ccc(OCC(O)CNC(C)C)cc1
TOX21550,CC(C)=CCC[C@H](C)CCO
TOX6802,CC(C)CC(O)CC(C)C
TOX24916,C=C(C)C(=O)OCCOP(=O)(O)OCCOC(=O)C(=C)C
TOX11492,C=C(C)OC(C)=O
TOX26263,Cc1cc(O)cc2c1O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2
TOX26260,O=C1CC[C@@H](C(=O)O)N1
TOX27243,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C
TOX27241,O=C1NC(=O)C(=O)C(=O)N1
TOX27244,OCCCC1CCCCC1
TOX1232,O=S(=O)([O-])c1ccc2c(/N=N\c3ccc(S(=O)(=O)[O-])c4ccccc34)c(O)c(S(=O)(=O)[O-])cc2c1
TOX20731,CC(C)OC(=O)c1ccccc1C(=O)OC(C)C
TOX20735,C1CCC2(CCCCO2)OC1
TOX20739,C[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]2O)[C@@H](N)C[C@@H]1NC(=N)C(=O)O
TOX4097,CCCCOCCO
TOX4091,CCCN(CCC)C(=O)SCC
TOX22394,O=S(=O)([O-])c1cccc2ccccc12
TOX6059,N#CCCC#N
TOX892,Cc1ncc([N+](=O)[O-])n1CCO
TOX25543,C[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2
TOX1575,CC(Cl)(Cl)C(=O)O
